agg_id,treat,prop_score,fu_survey_year,hhinc_yrly_end,profits_yrly_end,rev_yrly_end,exp_yrly_end,hhexp_yrly_end,loan_size,prinpaid,interest_rate,repaytime,intpaid,penalty,paid_total,net_revenue,css_creditscorefinal,css_yearsataddress,own_house,sari,own_anybus,max_yearsinbusiness,css_regularworkers,css_traveltime,css_travelcost,css_stockvalue,css_assetvalue,css_noofbusiness,lower_window,app_year,hhsize,age,gender,education,married,savingsamt,hhinc_yrly_base,profits_yrly_base,rev_yrly_base,exp_yrly_base,hhexp_yrly_base,hhasset_yrly_base,revenue_fees,revenue_interest,log_hhinc,default_value,high_school,college,bank_profits_level,bank_profits_pp
320580,1,0.546583850931677,2007,2250,2250,45000,26512.5,4500,0,NA,NA,1,NA,NA,NA,0,45,10,1,1,1,6,0,10,14,10000,15000,1,1,2006,8,44,1,1,0,5000,24713.541666666668,148281.25,267248.4375,118967.1875,2625,1812.5,0,0,7.719129840906732,-0,1,1,0,0
320581,1,0.8434873949579832,2007,7500,7500,67500,16875,3375,0,NA,NA,1,NA,NA,NA,0,46,3,0,1,0,2,0,15,14,20000,15000,1,0,2006,2,28,1,1,1,0,19010.416666666668,114062.5,205654.6875,91592.1875,6112.5,2706.25,0,0,8.922791623969637,-0,1,1,0,0
320583,1,0.546583850931677,2008,375,375,22500,25012.5,3375,0,NA,NA,1,NA,NA,NA,0,39,2,0,1,0,2,0,15,20,15000,10000,1,1,2006,3,39,1,2,0,0,22812.5,136875,246717.1875,109842.1875,2887.5,1937.5,0,0,5.929589143389895,-0,1,0,0,0
320584,1,0.8434873949579832,2007,4500,4500,34875,8985,7500,0,NA,NA,1,NA,NA,NA,0,46,20,1,1,1,2,0,20,30,20000,15000,1,0,2006,1,35,1,1,0,0,15208.333333333334,91250,164592.1875,73342.1875,2737.5,2562.5,0,0,8.412054873292933,-0,1,1,0,0
320585,1,0.8434873949579832,2008,0,0,0,0,6750,0,NA,NA,1,NA,NA,NA,0,58,37,1,0,1,30,1,20,32,85000,56000,1,0,2007,4,48,0,1,1,50000,22812.5,136875,246375,109500,5325,29675,0,0,0,-0,1,1,0,0
320589,1,0.8434873949579832,2007,9300,9300,37200,30937.5,2850,625,10000,30,1,759.33,0,10759.33,47.458125,58,18,1,0,1,7,0,15,20,15000,12000,1,0,2006,4,50,0,1,1,0,15208.333333333334,91250,146456.25,55206.25,3487.5,2562.5,0.711549657534249,46.74657534246575,9.137877200242468,-0,1,1,-16.873263570336405,1.0781396633170566
320592,1,0.8434873949579832,2007,-1837.5,-1837.5,71175,73012.5,7500,625,10000,30,1,758.29,0,10758.29,47.39312500000006,47,11,1,1,1,2,0,10,20,20000,15000,1,0,2006,5,37,1,2,1,0,26614.583333333332,159687.5,288578.125,128890.625,4687.5,2125,0.6465496575343082,46.74657534246575,0,-0,1,0,-16.938263570336346,1.0677396633170702
320596,1,0.546583850931677,2007,7500,7500,11250,25755,2250,0,NA,NA,1,NA,NA,NA,0,38,6,0,1,0,2,0,5,12,18000,15000,1,1,2006,5,41,1,1,0,0,15911.71875,95470.3125,168812.5,73342.1875,4087.5,6312.5,0,0,8.922791623969637,-0,1,1,0,0
320597,1,0.8434873949579832,2007,112500,112500,225000,229500,7875,0,NA,NA,1,NA,NA,NA,0,47,10,1,1,1,7,0,5,12,12000,7000,1,0,2006,5,36,1,2,1,0,14447.916666666666,86687.5,152045.3125,65357.8125,1537.5,1468.75,0,0,11.630717389475995,-0,1,0,0,0
320598,1,0.546583850931677,2007,2325,2325,11625,5932.5,5812.5,0,NA,NA,1,NA,NA,NA,0,45,5,1,1,1,4,0,5,12,15000,12000,1,1,2006,4,44,1,2,1,0,16348.958333333334,98093.75,176910.9375,78817.1875,2062.5,1281.25,0,0,7.75190533307861,-0,1,0,0,0
